Country/Region,Date,R,ci_95_u,ci_95_l,ci_65_u,ci_65_l,days_infectious,last_updated
France,2020-05-08,0.7475761427986813,0.9996418411473118,0.4929769043424109,0.8672934373544416,0.6273750310150696,5,2021-06-22
France,2020-05-09,0.731103843003763,0.9783217908814908,0.4778952439442568,0.8503739591513944,0.6115799219782491,5,2021-06-22
France,2020-05-10,0.7208759858351572,0.969260962683764,0.4669221423607558,0.840245334605138,0.6003219912479781,5,2021-06-22
France,2020-05-11,0.7126237513890876,0.9633751785999723,0.457296492750792,0.8319583375089468,0.5939674080537007,5,2021-06-22
France,2020-05-12,0.7090225491860523,0.9574731313997984,0.4555458374043586,0.8276238654165069,0.5907976409256813,5,2021-06-22
France,2020-05-13,0.7066473341120579,0.9548836003146092,0.4516514184743296,0.8257447467699308,0.5881891789166698,5,2021-06-22
France,2020-05-14,0.7138662574889417,0.9620679975211192,0.4594170131373829,0.8331932232497696,0.5958115826911392,5,2021-06-22
France,2020-05-15,0.7186083685465527,0.9688658084748488,0.4642742805621951,0.8386902531091478,0.6002199484467571,5,2021-06-22
France,2020-05-16,0.7231714882559659,0.9736485343303141,0.4681096811491622,0.8433783580239349,0.6040486887789436,5,2021-06-22
France,2020-05-17,0.7321312150346236,0.9825609613908772,0.4771375129223181,0.8534655485151001,0.6110049920015722,5,2021-06-22
France,2020-05-18,0.7406745455535009,0.9927740274051676,0.485434005246908,0.8608082077600802,0.6215519284151152,5,2021-06-22
France,2020-05-19,0.7461435536488712,1.0009248574093077,0.4884120547237445,0.8673250728805795,0.6265534878717152,5,2021-06-22
France,2020-05-20,0.7515653079447975,1.011308503665105,0.4925793521395517,0.875187220745282,0.6290194602954728,5,2021-06-22
France,2020-05-21,0.7589087194677587,1.0226240720916857,0.4984607605400746,0.8816651775110728,0.6348719704553656,5,2021-06-22
France,2020-05-22,0.7681922791904108,1.0356934504825943,0.5029770167036991,0.8941362491147488,0.6428794517187002,5,2021-06-22
France,2020-05-23,0.7641936220065019,1.0378247081309304,0.492260659627356,0.8918423995330922,0.63582584593213,5,2021-06-22
France,2020-05-24,0.7578839373014801,1.0362406671384343,0.4833818061205386,0.8880953898523706,0.6275069642601063,5,2021-06-22
France,2020-05-25,0.7513494258003297,1.031374209949086,0.4709133310235784,0.8830584171799821,0.6196561180883929,5,2021-06-22
France,2020-05-26,0.7451968450969522,1.021505297105079,0.4677789243890957,0.8772775798980912,0.6130718750736457,5,2021-06-22
France,2020-05-27,0.7448369993599858,1.0251272434147272,0.4664104267652704,0.8749093009750792,0.6131904694559254,5,2021-06-22
France,2020-05-28,0.7524108857492959,1.0348791843132004,0.4740578813086589,0.8830331909587493,0.6190874423194523,5,2021-06-22
France,2020-05-29,0.7602269094075481,1.040137215912624,0.4822827690720476,0.8916572897918315,0.6272514571037401,5,2021-06-22
France,2020-05-30,0.7691834033066959,1.0466740169521798,0.4903761661666082,0.9007177575638519,0.6370403554542766,5,2021-06-22
France,2020-05-31,0.761096076454391,1.0388268719171099,0.4846269169553529,0.8921469904730663,0.6282276221037808,5,2021-06-22
France,2020-06-01,0.7532007023302518,1.0343628625105017,0.4699754986797714,0.8862798902624944,0.6204898098909907,5,2021-06-22
France,2020-06-02,0.7463263458161309,1.0291550540078296,0.4599039364470079,0.8807700476805239,0.6114807210199906,5,2021-06-22
France,2020-06-03,0.7395297031521406,1.0229110533437262,0.4507826908502495,0.8756304080502042,0.604421250986136,5,2021-06-22
France,2020-06-04,0.7323908155694921,1.0126395809934314,0.4454667446950071,0.8674926808969979,0.5974419529008951,5,2021-06-22
France,2020-06-05,0.7258978040388733,1.0050825617726231,0.44529389525493146,0.8576021476299849,0.5949494556478423,5,2021-06-22
France,2020-06-06,0.7264736194612538,0.9996951653567232,0.4513294343785312,0.8559027189083663,0.598109541930847,5,2021-06-22
France,2020-06-07,0.7343341846773348,0.99876290605163,0.4620434563113239,0.8605215637248683,0.6089596725973354,5,2021-06-22
France,2020-06-08,0.7419297102425579,1.0012146597888092,0.4765101751865194,0.8672143920188191,0.6173388810451166,5,2021-06-22
France,2020-06-09,0.7529759422125955,1.0085145594856841,0.4884107986067855,0.8763190308692981,0.6291397172487234,5,2021-06-22
France,2020-06-10,0.7687520087128992,1.0248615382663275,0.5065576756743867,0.8897476267246478,0.6471013094723508,5,2021-06-22
France,2020-06-11,0.7860277703198996,1.0409934490803123,0.5282498447736153,0.9058903486241842,0.6664549745782111,5,2021-06-22
France,2020-06-12,0.8062164614006282,1.0579978233393148,0.5495558471648316,0.9261600497584258,0.6869411192101107,5,2021-06-22
France,2020-06-13,0.824158934629323,1.0753642860768524,0.5692890069178038,0.94407356733145,0.7047760235912391,5,2021-06-22
France,2020-06-14,0.8425114368371818,1.0929368499114598,0.5915750508580986,0.962169421495202,0.7243487511826465,5,2021-06-22
France,2020-06-15,0.8581646334717096,1.1083944016340097,0.6067858790720075,0.9771998455707837,0.7402034833163363,5,2021-06-22
France,2020-06-16,0.8820726846344673,1.132805539236902,0.6322531665450999,1.0010231993202712,0.7640655292767947,5,2021-06-22
France,2020-06-17,0.9038265503787098,1.155826244473176,0.654131707323154,1.0228091110183255,0.7849588516866083,5,2021-06-22
France,2020-06-18,0.9252412466784716,1.1783733640522052,0.6734415329158181,1.0432364458393248,0.8071948319668734,5,2021-06-22
France,2020-06-19,0.9405031841963456,1.1969170422316608,0.687513922441286,1.059523803380197,0.8210150279321279,5,2021-06-22
France,2020-06-20,0.955140274146502,1.2061649826530485,0.7010035548822291,1.07580139199197,0.8370742540352503,5,2021-06-22
France,2020-06-21,0.9641595852190964,1.2190338079241372,0.7127736498530723,1.0842254514034788,0.8450177180934058,5,2021-06-22
France,2020-06-22,0.9718279271746292,1.2253989317103056,0.7172002443836588,1.0928046322579437,0.8522651727483563,5,2021-06-22
France,2020-06-23,0.9924976681395168,1.2449512926367463,0.7379497197257591,1.113976813217005,0.8729411848739385,5,2021-06-22
France,2020-06-24,1.009720472463028,1.2620423690313995,0.7545730498652832,1.1307903701001625,0.8886919220833671,5,2021-06-22
France,2020-06-25,1.0374629372933182,1.298658592550634,0.7837249068670622,1.1595849658643065,0.9151372351239432,5,2021-06-22
France,2020-06-26,1.0679983614607331,1.3322881568491531,0.8118962057090633,1.1929268959387724,0.9439735754864996,5,2021-06-22
France,2020-06-27,1.076907917664769,1.3468079491815188,0.8140448651061494,1.2029995467542018,0.9506328855244676,5,2021-06-22
France,2020-06-28,1.0831177041227955,1.3523518303109023,0.8156779344122671,1.2098128741037988,0.9547328488011032,5,2021-06-22
France,2020-06-29,1.0891594614340727,1.3593827876113798,0.8253111978622043,1.2182259386818233,0.9611019574179512,5,2021-06-22
France,2020-06-30,1.095339777138716,1.3606265059871046,0.835282899410914,1.2200117802175658,0.9690735553532556,5,2021-06-22
France,2020-07-01,1.1013050655473775,1.3608558213318096,0.8436539287752345,1.2245071446123894,0.9780737101467274,5,2021-06-22
France,2020-07-02,1.0967842863542234,1.3535164477317192,0.8410292851847128,1.217803304711,0.9756099620267648,5,2021-06-22
France,2020-07-03,1.0920116482708284,1.3473707957140817,0.8366948721109027,1.2125761255202885,0.9717673063592216,5,2021-06-22
France,2020-07-04,1.097485964559796,1.3484562620949194,0.845893942160175,1.2158694093381015,0.9792336513201124,5,2021-06-22
France,2020-07-05,1.1034987442151123,1.354362883673438,0.8546296537591705,1.220358577080996,0.9844478636215912,5,2021-06-22
France,2020-07-06,1.1104657426178357,1.359104304525223,0.8590207505321685,1.2292695837041885,0.9921681109532622,5,2021-06-22
